short_name,long_name
GAD-7,Generalized Anxiety Disorder - 7
SCoRS,Schizophrenia Cognition Rating Scale
BACS,Brief Assessment of Cognition in Schizophrenia
FACT-AntiA,Functional Assessment of Cancer Therapy for patients receiving Anti-Angiogene...
UDysRS,Unified Dyskinesia Rating Scale
OxPAQ,Oxford Participation and Activities Questionnaire
SCOPA-PS,Scales for Outcomes in Parkinson's Disease - Psychosocial functioning
SCOPA-PC,Scales for Outcomes in Parkinson's Disease - Psychiatric disturbances
SPES/SCOPA,Scales for Outcomes in Parkinson's Disease - Motor function
SCOPA-AUT,Scales for Outcomes in Parkinson's Disease - Autonomic dysfunction
FPS-R,Faces Pain Scale - Revised version
GCS,Glasgow Coma Scale
COMFORT-B,COMFORT Behaviour Scale
WOQ,Wearing-off Questionnaire
AIM,Ascites Impact Measure
CAPS,Clinician Administered PTSD Scale
SIS,Sleep Impact Scale
BSPS,Brief Social Phobia Scale
SPAI™,Social Phobia and Anxiety Inventory
SPIN,Social Phobia Inventory
WSWS,Wisconsin Smoking Withdrawal Scale
CWS-21,Cigarette Withdrawal Scale
PDSS-SR,Panic Disorder Severity Scale- Self Report
NIMH-LCM,National Institute of Mental Health-Life-Chart Method
N-PASS,"Neonatal Pain, Agitation and Sedation Scale"
Hoehn and Yahr scale,Hoehn and Yahr scale
VADAS-COG,Vascular Dementia Assessment Scale cognitive subscale
COPM,Canadian Occupational Performance Measure
CARS,Childhood Autism Rating Scale
PDSS-C,Panic Disorder Severity Scale for Children
CRIES,"Crying, Requires oxygen, Increased vital signs, Expression and Sleeplessness scale"
SWAL-QOL,Swallowing Quality of Life questionnaire
PASE,Physical Activity Scale for the Elderly
CPSS,Chronic Pain Self-Efficacy Scale
BRAF-MDQ,Bristol Rheumatoid Arthritis Fatigue-Multidimensional Questionnaire
BRAF-NRS,Bristol Rheumatoid Arthritis Fatigue -  Numerical Rating Scale
PDS®,Posttraumatic Diagnostic Scale®
KPPS,King's Parkinson's Disease Pain Scale
BAS-G,Bath Ankylosing Spondylitis Global score
COMFORT,COMFORT scale
JAS,Jenkins Activity Survey
ABOUT™—Perceived Risk,ABOUT™—Perceived Risk (formally Perceived Risk Instrument - PRI)
CDS,Cigarette Dependence Scale
TSS,Total Severity Sign score for psoriasis
SAPASI,Self-Administered Psoriasis Area and Severity Index
PLSI,Psoriasis Life Stress Inventory
ADOS™,Autism Diagnostic Observation Schedule™
MedTech20©,MedTech20 Questionnaire
PI,Löe and Silness Plaque Index
WHO Oral Mucositis Scale,World Health Organization Oral Mucositis Scale
LAI-hip,Lequesne's Algofunctional Index for Hip
SRI,SLE Responder Index
BICLA,BILAG-based Combined Lupus Assessment
WPAI:Lupus,Work Productivity and Activity Impairment: Lupus
SSC,Systemic lupus erythematosus Symptom Checklist
MASES,Maastricht Ankylosing Spondylitis Enthesitis Score
FACT-Taxane,Functional Assessment of Cancer Therapy – Taxane
DFI,Dougados Functional Index
DASS,Depression Anxiety Stress Scales
SPAI-C™,Social Phobia and Anxiety Inventory for Children
DASS-21,Depression Anxiety Stress Scales Short Form
PDSS,Panic Disorder Severity Scale
BAI®,Beck Anxiety Inventory®
GNDS,Guy's Neurological Disability Scale
ODSS,Overall Disability Sum Score
Mini-SPIN,Social Phobia Inventory - Abbreviated Version
BFI,Bowel Function Index
SAT II,Self-Assessment of Treatment Questionnaire
CAPS-5,Clinician Administered PTSD Scale - 5
AQ,Autism Spectrum Quotient
AQ-Child,The Autism Spectrum Quotient: Children's Version
AQ-Adolescent,Autism Spectrum Quotient - Adolescent Version
Q-CHAT,Quantitative CHecklist for Autism in Toddlers
M-CHAT-R/F,"Modified Checklist for Autism in Toddlers, Revised with Follow-up"
ADI™-R,Autism Diagnostic Interview™- Revised
SPAI-18,Social Phobia and Anxiety Inventory short version
PSSI,Psoriasis Scalp Severity Index
NIH Consensus Criteria in cGVHD,National Institutes of Health Consensus Criteria in Chro...
PAVE,Proximal Antecedents to Violent Episodes
PPIUS,Patient Perception of Intensity of Urgency Scale
PDSBE,Physical Disability Sexual and Body Esteem
KI,Kupperman Index
EDIN,Neonatal Pain and Discomfort scale
SNAS,Sherbrooke Neuro-Oncology Assessment Scale
PDS-5,Posttraumatic Diagnostic Scale for DSM-5
PSS-I and PSS-SR,Posttraumatic Stress Disorder Symptom Scale: Interview and Self Report
ACDS,Adult ADHD Clinical Diagnostic Scale
SDSCA,Summary of Diabetes Self-Care Activities
DSMQ,Diabetes Self-Management Questionnaire
APPADL,Ability to Perform Physical Activities of Daily Living
PODCI-Parent,Pediatric Outcomes Data Collection Instrument-Parent
SCI-R,Self-Care Inventory-Revised
BRSD,Behaviour Rating Scale for Dementia
SLDS-C,Satisfaction with Life Domains Scale for Cancer
SLDS-BC,Satisfaction with Life Domains Scale for Breast Cancer
BIBCQ,Body Image after Breast Cancer Questionnaire
FJS,The Forgotten Joint Score
NOSIE,Nurses' Observation Scale for Inpatient Evaluation
DCB,Devereux Child Behavior Rating Scale
SPPB,Short Physical Performance Battery
DFI,Dyspnea-Fatigue Index
CMAI,Cohen-Mansfield Agitation Inventory
Conners CBRS Teacher Form,Conners Comprehensive Behavior Rating Scales Teacher Form
WWPAS,Werry Weiss Peters Activity Scale
SMFA,Short Musculoskeletal Function Assessment
MFA,Musculoskeletal Function Assessment
RAID,Rheumatoid Arthritis Impact of Disease score
RAQ,Research Attitudes Questionnaire
EVENDOL,EValuation ENfant DOuleur
BMQ,Beliefs about Medicines Questionnaire
BEMIB,Brief Evaluation of Medication Influences and Beliefs
APS-POQ-R,Revised American Pain Society Patient Outcome Questionnaire
FOG-Q,Freezing of Gait Questionnaire
ITQOL™,Infant and Toddler Quality of Life Questionnaire ™
BMCS,Beliefs about Medication Compliance Scale
BDCS,Beliefs about Dietary Compliance Scale
RA-WIS,Rheumatoid Arthritis Work Instability Scale
IVI-C,Impact of Vision Impairment for Children
IDSRQ,Insulin Delivery System Rating Questionnaire
DMSRQ,Diabetes Medication System Rating Questionnaire
ADAMS,"Anxiety, Depression and Mood Scale"
DMSRQ-SF,Diabetes Medication System Rating Questionnaire-Short Form
BIS-11,Barratt Impulsiveness Scale
SAS,Starkstein Apathy Scale
SHAPS,Snaith-Hamilton Pleasure Scale
BCSS,Body Concealment Scale for Scleroderma
MYCaW,Measure Yourself Concerns and Wellbeing
MDP,Multidimensional Dyspnea Profile
LARS,Lille Apathy Rating Scale
NPAD,Neck Pain and Disability Scale
SQ,Smoking Questionnaire
LQ,Lifestyle Questionnaire
MARS,Medication Adherence Rating Scale
Best-ACT-P,Best Asthma Control Test for Preschoolers
ICOAP,Measure of Intermittent and Constant Osteoarthritis Pain
ALDS,Academic Medical Center Linear Disability Score
HemoLatin-QoL,HemoLatin-QoL
MC-QoL,Mastocytosis Quality of Life Questionnaire
AAS,Angioedema Activity Score
AE-QoL,Angioedema Quality of Life Score
UCT,Urticaria Control Test
AES-C,Apathy Evaluation Scale - Clinician version
ASDAS,Ankylosing Spondylitis Disease Activity Score
SAPS,Scale for the Assessment of Positive Symptoms
DAI - UCDAI,Disease Activity Index - Ulcerative Colitis Disease Activity Index
EPIC-CP,Expanded Prostate Cancer Index Composite for Clinical Practice
LQI,Life Quality Index
BODY-Q™,BODY-Q™
SHAQ,Scleroderma Health Assessment Questionnaire
SDAI,Simple Disease Activity Index
Patient EOC,Patient Ease-Of-Care Questionnaire
Nurse EOC,Nurse Ease-Of-Care Questionnaire
PGA of the method of pain control,Patient Global Assessment of the method of pain contro...
PT EOC,Physical Therapist Ease-Of-Care Questionnaire
MCD-SS,Multicentric Castleman's Disease Symptom
TQOLIT™ - v1,Tobacco Quality Of Life Impact Tool™ - v1
SMWQ V2,Study Medication Withdrawal Questionnaire - Version 2
SCQoL,Smoking Cessation Quality of Life
mFTQ,modified Fagerstrom Tolerance Questionnaire
IW-SP,Impact of Weight on Self-Perception
FACT-ES,Functional Assessment of Cancer Therapy-Endocrine Subscale
"Prochaska ""Stage of Change' Questionnaire","Prochaska ""Stage of Change' Questionnaire"
RSUI,Rhinitis Symptom Utility Index
RSVP,Refractive Status and Vision Profile
FDDQL,Quality of Life Questionnaire for Functional Digestive Disorders
SAQLI,Sleep Apnea Quality of Life Index
ZungSAS,Zung Self-rating Anxiety Scale
SAT-P,Satisfaction profile
SCB,Screen for Caregiver Burden
SCI,Subjective Chemotherapy Impact scale
SCL-90-R®,Symptom Checklist-90-Revised
SCNS,Supportive Care Needs Survey
SCSORF,Santa Clara Strength of Religious Faith Questionnaire
SDS,Symptom Distress Scale
SEIQoL,Schedule for the Evaluation of Individual Quality of Life
SF-12® / SF-12v2®,SF-12 Health Survey
SFI,Sexual Function Index
CAP-Sym,Community-Acquired Pneumonia Symptom questionnaire
SGRQ,St George's Respiratory Questionnaire
SHE,Subjective Health Estimations
SI-MS,Symptom Inventory for Multiple Sclerosis
SIP,Sickness Impact Profile
SIS v2.0,Stroke Impact Scale &amp; Stroke Toolbox
SISC,Structured Interview for Symptoms and Concerns
SLQ,Silver Lining Questionnaire
SLQQ,Sexual Life Quality Questionnaire
SODA,Severity of Dyspepsia Assessment
SPI,Symptom Problem Index
SQLP,Subjective Quality of Life Profile
SRP,Social Role Performance schedule
SS-QOL,Stroke-Specific Quality Of Life measure
SSS-30 / SSS-15 / SSS-RES,Service Satisfaction Scale
STAI-AD,State-Trait Anxiety Inventory-AD (Form Y)
STAS,Support Team Assessment Schedule
SWED-QUAL,Swedish Health-Related Quality of Life Survey
SWN,Subjective Well-being under Neuroleptic treatment
TAAQOL,TNO-AZL Questionnaire for Adult's Health-related Quality of Life
TACQOL-PF,TNO AZL Children's Quality of Life - Parents Form
TAPQOL,TNO-AZL Preschool children Quality of Life questionnaire
TAPS,Treatment Attitudes in Psychiatry Scales
TedQL,Quality of Life measure for children aged 3-8 years
TIQ,Therapy Impact Questionnaire
UCLA-DQ,UCLA Dizziness Questionnaire
UROLIFE™ / BPHQoL9,Benign Prostatic Hypertrophy Health-Related Quality of Life Questionn...
UW-QOL,University of Washington Quality of Life Instruments
Vineland II - Survey Interview form,Vineland Adaptive Behaviour Scales II - Survey Inter...
VHQ,Vertigo Handicap Questionnaire
VSS,Vertigo Symptom Scale
AVVQ,Aberdeen Varicose Veins Questionnaire
WANQ,Wyke's Assessment of Need Questionnaire
WAYS,Ways of Coping Questionnaire
W-BQ,Well-Being Questionnaire
WHQ,Women's Health Questionnaire
WHYMPI,West Haven - Yale Multidimensional Pain Inventory
WIQ,Walking Impairment Questionnaire
WOMAC®,Western Ontario and McMaster Universities Arthritis Index
WORC,Western Ontario Rotator Cuff index
WPAI:GH 2.0,Work Productivity and Activity Impairment Questionnaire: General Health V2.0
W-QLI,Wisconsin Quality of Life Index
DQOLY,Diabetes Quality of Life for Youth scale
AMA,About My Asthma
BISF-W,Brief Index of Sexual Functioning for Women
EPIC,Expanded Prostate Cancer Index Composite
HAM-A,Hamilton Anxiety Scale
HANA,Headache Needs Assessment questionnaire
HANDS,Harvard Department of Psychiatry/NDSD scale
MOS-HIV,Medical Outcome Study-HIV Health Survey
TOPS,Treatment Outcomes in Pain Survey
MRS,Menopause Rating Scale
AVFT,Arabic Visual Function Test
NEWSQOL,Newcastle Stroke-specific Quality of Life measure
CBS,Cardiff Breast Scales
AQLQ-NAA,Asthma Quality of Life Questionnaire for Native American Adults
SAT-16,SAT-16
MUDI,Male Urogenital Distress Inventory
PICQoL,Paediatric Intensive Care Quality of Life questionnaire
MIDAS-35,Myocardial Infarction Dimensional Assessment Scale
MFI,Multidimensional Fatigue Inventory
UQOL,Utian Quality of Life scale
MRQ,Menopause Representations Questionnaire
FKB-20 / BIQ-20,Fragebogen zum Körperbild/Body Image Questionnaire
MUSIQ,Male Urinary Symptom Impact Questionnaire
WURSS,Wisconsin Upper Respiratory Symptom Survey
DSQL-Acne,Dermatology-Specific Quality of Life Instrument for Acne
DSQOLS,Diabetes specific quality of life scale
DTSQs and DTSQc,"Diabetes Treatment Satisfaction Questionnaire, status and change version..."
DUKE,Duke Health Profile
DUKE-AD,Duke Anxiety - Depression Scale
DUSOCS,Duke Social Support and Stress Scale
DUSOI,Duke Severity of Illness Checklist
ECOG Performance Status,Eastern Cooperative Oncology Group Performance Status scale
ECOS-16,Short Osteoporosis Quality of Life Questionnaire
ECQ,Edinburgh Claudication Questionnaire
EDITS,Erectile Dysfunction Inventory of Treatment Satisfaction
EDSS,Expanded Disability Status Scale
EQ-5D-3L,EuroQoL 5-Dimension 3-Level
ESAS-r,Edmonton Symptom Assessment System Revised
ESI-55,Epilepsy Surgery Inventory
FACT-G,Functional Assessment of Cancer Therapy - General
FIQ,Fibromyalgia Impact Questionnaire
FIQL,Fecal Incontinence Quality of Life scale
FISI,Fecal Incontinence Severity Index
FSFI,Female Sexual Function Index
FSI,Fatigue Symptom Inventory
FSQ,Functional Status Questionnaire
GIQLI,Gastrointestinal Quality of Life index
GIS,Global Index of Safety
GIVIO,GIVIO questionnaire
GLQ-8,GLQ-8
GQOL,Global Quality of Life Scale
Grogono Health Index,Grogono Health Index
GSQ,General Satisfaction Questionnaire
GSRS,Gastrointestinal Symptom Rating Scale - original interviewer-administered version
GSRS-self,Gastrointestinal Symptom Rating Scale - self-administered version
HALex,Health and Activity Limitation Index
HAQUAMS,Hamburg Quality of Life Questionnaire Multiple Sclerosis
HAT-QoL,HIV/AIDS-Targeted Quality of Life
HDLF,Health and Daily Living Form
HFS,Hypoglycemia Fear Survey or Adult Low Blood Sugar Survey
DIS,Detrusor Instability Score
HOPES,HIV Overview of Problems - Evaluation System
EHP-30,Endometriosis Health Profile-30
HQLI,Hospice Quality of Life Index
HUI®,Health Utilities Index
IBDQ,Inflammatory Bowel Disease Questionnaire
IBDQOL,Inflammatory Bowel Disease Quality of Life Questionnaire
IBQ,Illness Behavior Questionnaire
IBS-36,irritable bowel syndrome
IBS-QOL,Irritable Bowel Syndrome - Quality Of  Life
IDQOL,Infants' Dermatitis QOL Index
IDS,Illness Distress Scale
IIWS,Influenza Impact Wellbeing Scale
IPS,Integrated Pain Score
I-QOL,Urinary Incontinence-Specific Quality of Life
ISI,Incontinence Stress Index
ISS,Influenza Symptom Severity scale
IWLS,Impact of Weight Loss Scale
KAS,Katz Adjustment Scale (Epilepsy)
KCCQ,Kansas City Cardiomyopathy Questionnaire
KDQOL™,Kidney Disease Quality of Life instrument
KHQ,King's Health Questionnaire
KINDL®,Revidierter KINDer Lebensqualitätsfragebogen
KOOS,Knee Injury and Osteoarthritis Outcome Score
KPS,Karnofsky Performance Status
LASA-S,Linear Analogue Self-Assessment-Selby
LFUQ,Leg and Foot Ulcer Questionnaire
LHS,London Handicap Scale
LQOLP,Lancashire Quality of Life Profile
LSAS,Liebowitz Social Anxiety Scale
LSSS,Liverpool Seizure Severity Scale
LVQOL,Low Vision Quality-of-Life Questionnaire
LWAQ,Living with Asthma Questionnaire
MAC,Mental Adjustment to Cancer Scale
MADRS,Montgomery-Asberg Depression Rating Scale
GCSI,Gastroparesis Cardinal Symptom Index
BDI®-II,Beck Depression Inventory® - Second Edition
POQ,Prostate Outcomes Questionnaire
DEMQOL,Measurement of health-related quality of life for people with dementia
CROQ,Coronary Revascularisation Outcome Questionnaire
VEINES-QOL/Sym,VEnous INsufficiency Epidemiological and Economic Study (VEINES) - Qualit...
SQLI,Stoma Quality of Life Index
GSAS,Gastroesophageal Reflux Disease Symptom Assessment Scale
ILSS,Independent Living Skills Survey
DAI-30,Drug Attitude Inventory© (Long version)
QOL-E,Quality of Life E
LQoL,Systemic Lupus Erythematosus Quality of Life Questionnaire
ORTHO BC-SAT,ORTHO Birth Control Satisfaction Assessment Tool
ASQoL,Ankylosing Spondylitis Quality of Life Questionnaire
BASDAI,Bath Ankylosing Spondylitis Disease Activity Index
FSDS,Female Sexual Distress Scale
ACT™,Asthma Control Test™
CECA,Cuestionario Específico en Condilomas Acuminados
PEQ,Personal Experiences Questionnaire
MDQ,Menstrual Distress Questionnaire
MHI,Mental Health Inventory
CMDQ,Common Mental Disorder Questionnaire
NTB,Neuropsychological Test Battery
CTSQ,Cancer Therapy Satisfaction Questionnaire
SHIP,Studying the Hurdles of Insulin Prescription
NPI-10,Neuropsychiatric Inventory - 10-item version
DEBQ,Dutch Eating Behavior Questionnaire
ACSS,Asthma Control Scoring System
EDI-3,Eating Disorder Inventory
AMS,Aging Males Symptoms Scale
MAACL-R,Multiple Affect Adjective Checklist-Revised
NEMOQC©,New Mother Quality of Care questionnaire©
CRQ-SAS,Chronic Respiratory Disease Questionnaire Self-Administered Standardized
FIM™ instrument,FIM™ instrument
WE-CARE,WEll-being and Satisfaction of CAREgivers of Children with Diabetes Questionnair...
FDLQI,Family Dermatology Life Quality Index
SF-QUALIVEEN,QUALIVEEN Short Form
ARTS,OsteoARthritis Treatment Satisfaction Questionnaire
DMS48,DMS48
Wong-Baker FACES,Wong-Baker FACES Pain Rating Scale
CLDQ,Chronic Liver Disease Questionnaire
AQLQ-M,Asthma Quality of Life Questionnaire - Marks
IFS,Iowa Fatigue Scale
SEQ Pain,Standard Evaluation Questionnaire on Pain
IPQ,Illness Perception Questionnaire
BL-VAS,Bond-Lader VAS (Mood Rating Scale)
IPQ-R,Revised Illness Perception Questionnaire
FCSRT,Free and Cued Selective Reminding Test
QUALIVEEN-30,QUALIVEEN 30 items
QUAL HEMO,Haemophilia age group-specific Quality of life questionnaire
DN4,Neuropathic Pain 4 Questions
ISL,Index of Sexual Life
MIS,Memory Impairment Screen
AI,Apathy Inventory
BASIS-24®,Revised Behavior And Symptom Identification Scale®
CAS,Caregiver Appraisal Scale
YQOL-FD,Youth Quality of Life Instrument - Facial differences Module
IMPACT III,IMPACT III
USP,Urinary Symptom Profile
ODEON,Objectif Douleur En Ophtalmologie et Neuro-ophtalmologie
OSD®,Ocular Surface Disease Questionnaire
FIS,Fatigue Impact Scale
SF-MPQ-2,Short-form McGill Pain Questionnaire
FBA,Food Benefits Assessment
PRAC-Test,PRAgmatic Content and face validity Test
SOPA,Survey of Pain Attitudes
SCOPA-COG,Scales for Outcomes of Parkinson's disease-cognition
SCOPA-SLEEP,Scales for Outcomes in Parkinson's Disease - Sleep Disturbances
ADCPQ,Alzheimer's Disease Caregiver Preference Questionnaire
